"Commissioner","Date","Location","Entity","Subject"
"Vytenis Andriukaitis","06/01/2015","Brussels","ARCHE NOAH","Plant Reproductive Material Proposal"
"Andrus Ansip","30/04/2015","Stockholm","Tele2 AB","Data roaming"
"Andrus Ansip","29/04/2015","Stockholm","Ericsson","Digital Single Market policy, R&D, spectrum"
"Andrus Ansip","16/04/2015","Brussels","Association of European Public Postal Operators","Digital Single Market, parcel delivery, industry voluntary action"
"Andrus Ansip","15/04/2015","Brussels","European Broadcasting Union","Copyright, audiovisual media"
"Andrus Ansip","14/04/2015","Brussels","IFPI Representing recording industry worldwide","Copyright, value gap"
"Andrus Ansip","31/03/2015","Brussels","Motion Picture Association","Copyright"
"Andrus Ansip","19/03/2015","Brussels","The Lisbon Council","Digital Single Market, copyright"
"Andrus Ansip","18/03/2015","Brussels","European Committee for Standardization (CEN), European Committee for Electrotechnical Standardization (CENELEC)","European standardisation - Digital Single Market"
"Andrus Ansip","16/03/2015","Brussels","International Chamber of Commerce","Digital Single Market strategy"
"Andrus Ansip","12/03/2015","Brussels","Institute of International Finance","Digital Single Market, future of finance"
"Andrus Ansip","09/03/2015","Brussels","European Digital Media Association","Digital Single Market, platforms"
"Andrus Ansip","04/03/2015","Brussels","Scania AB (publ)","Industrial internet, big data use and analytics, connected vehicles, coordinated spectrum"
"Andrus Ansip","03/03/2015","Barcelona","AT&T, Inc.","Digital Single Market, copyright"
"Andrus Ansip","03/03/2015","Barcelona","Ericsson","Digital Single Market, net neutrality, spectrum"
"Andrus Ansip","02/03/2015","Barcelona","GSMA Europe","Digital Single Market"
"Andrus Ansip","26/02/2015","Brussels","Huawei Technologies","Digital Single Market strategy and Huawei European investments in R&D, broadband roll-out, development of 5G"
"Andrus Ansip","26/02/2015","Brussels","European Publishers Council","Digital Single Market"
"Andrus Ansip","23/02/2015","Brussels","Apple Inc.","Digital Single Market, portability of content, standards and job creation through the app economy"
"Andrus Ansip","19/02/2015","Brussels","European Publishers Council","Platforms and data"
"Andrus Ansip","17/02/2015","Brussels","Centre for European Policy Studies","Digital Single Market Strategy"
"Andrus Ansip","16/02/2015","Brussels","European Competitive Telecommuniations Association","Investments, regulatory framework, competition in telecoms sector"
"Andrus Ansip","16/02/2015","Brussels","European Telecom Standards Institute","Digital Single Market strategy, standardisation"
"Andrus Ansip","12/02/2015","Berlin","Axel Springer SE","Digital Single Market, copyright"
"Andrus Ansip","04/02/2015","Brussels","TeliaSonera AB","Digital Single Market, Telecom Single Market"
"Andrus Ansip","03/02/2015","Brussels","Alcatel-Lucent","Telecom Single Market"
"Andrus Ansip","03/02/2015","Brussels","ChinaEU","Investments and ICT collaboration"
"Andrus Ansip","02/02/2015","Brussels","Orange                                                                                    Telefonica, S.A.                                                                                    Deutsche Telekom","Digital Single Market, Telecom Single Market, investments"
"Andrus Ansip","29/01/2015","Brussels","Royal Mail Group","Digital Single Market"
"Andrus Ansip","29/01/2015","Brussels","British Broadcasting Corporation","General Digital Single Market strategy, access to content, media policy"
"Andrus Ansip","22/01/2015","Brussels","Uber","Digital Single Market"
"Andrus Ansip","19/01/2015","Brussels","Google","Digital Single Market, broadband investment, Google SME initiatives"
"Andrus Ansip","15/01/2015","Brussels","Institute of International Finance","European and global economy, future on finance, implications of new technologies (fintech)"
"Andrus Ansip","18/12/2014","Brussels","The Norwegian Consumer Council","Digital Single Market, Data protection, Copyright reform, Geoblocking, Vertically integrated companies, Telecoms Single Market, Online contracts, Enforcement, Common European sales law"
"Andrus Ansip","09/12/2014","Brussels","European Film Agency Directors","Copyright"
"Andrus Ansip","09/12/2014","Brussels","Vodafone Belgium SA","Telecom Single Market"
"Andrus Ansip","08/12/2014","Brussels","GSMA Europe","Digital Single Market"
"Andrus Ansip","02/12/2014","Brussels","European Grouping of Societies of Authors and Composers (GESAC)","Copyright"
"Miguel  Arias Cañete","13/04/2015","Brussels, Belgium","SCHNEIDER ELECTRIC","Retail Market"
"Miguel  Arias Cañete","10/04/2015","ANGED","ASOCIACIÓN NACIONAL DE GRANDES EMPRESAS DE DISTRIBUCIÓN","Ecodesign & ecolabelling, household appliances role in the promotion of the energy efficiency in the EU"
"Miguel  Arias Cañete","10/04/2015","Madrid, Spain","FEDERACIÓN ESPAÑOLA DE COMERCIANTES DE ELECTRODOMÉSTICOS","Ecodesign & ecolabelling, household appliances role in the promotion of the energy efficiency in the EU"
"Miguel  Arias Cañete","10/04/2015","Madrid, Spain","Asociación Nacional de Fabricantes e Importadores de Electrodomésticos","Ecodesign & ecolabelling, household appliance role in the promotion of energy efficency in the EU"
"Miguel  Arias Cañete","10/04/2015","Madrid, Spain","ASOCIACIÓN ESPAÑOLA DE FABRICANTES DE PASTA, PAPEL Y CARTÓN","Industrial Policy of the EU and ETS"
"Miguel  Arias Cañete","10/04/2015","Madrid, Spain","FEIQUE","Energy Union, Gas sector in the EU, promotion of cogeneration and ETS"
"Miguel  Arias Cañete","10/04/2015","Madrid, Spain","Asociación Española de Operadores de Productos Petrolíferos","Energy Union and refinery sector in the EU"
"Miguel  Arias Cañete","10/04/2015","Madrid, Spain","ASOCIACIÓN ESPAÑOLA DE LA INDUSTRIA ELÉCTRICA","Energy Union and the Electricity sector in the EU"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","Bayerische Motoren Werke Aktiengesellschaft","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","TOYOTA MOTOR EUROPE","Decabornisaton of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","SCANIA","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","Daimler Aktiengesellschaft","Decabornsation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","DAF Trucks N.V.","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","Hyundai Motor Company Brussels Office","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","IVECO S.p.A.","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","VOLKSWAGEN AG","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","Volvo AB","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","RENAULT","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","JAGUAR LAND ROVER","Decabornisation of Road Transport"
"Miguel  Arias Cañete","09/04/2015","Brussels, Belgium","ACEA","Decabornisation of Road Transport"
"Miguel  Arias Cañete","08/04/2015","Brussels, Belgium","VATTENFALL","Financial Market legislation"
"Miguel  Arias Cañete","31/03/2015","Brussels, Belgium","ALSTOM","EU Power market and CCS"
"Miguel  Arias Cañete","24/03/2015","Brussels, Belgium","BP p.l.c.","Southern Gas Corridor"
"Miguel  Arias Cañete","23/03/2015","Madrid, spain","MIBGAS","iberian Gas Market"
"Miguel  Arias Cañete","23/03/2015","Madrid, Spain","PYMAR","Ship Sector in the EU"
"Miguel  Arias Cañete","23/03/2015","Madrid, Spain","ACCIONA","Renewable energies in Europe"
"Miguel  Arias Cañete","20/03/2015","Brussels, Belgium","BP p.l.c.","Energy Union (Security supply)"
"Miguel  Arias Cañete","18/03/2015","Brussels, Belgium","ExxonMobil Petroleum & Chemical","Energy Union (Security of supply)"
"Miguel  Arias Cañete","17/03/2015","Brussels, Belgium","European Farmers                                                                                    European agri-cooperatives",": indirect land-use change of food-crop based biofuels & inclusion of land-use in the EU's emission reduction target for 2030"
"Miguel  Arias Cañete","16/03/2015","Madrid, Spain","Trans Adriatic Pipeline","Trans Adriatic Pipeline Project"
"Miguel  Arias Cañete","16/03/2015","Madrid, Spain","UNION DE PETROLEROS INDEPENDIENTES","Energy efficiency"
"Miguel  Arias Cañete","11/03/2015","Strasbourg, France","Neste Oil Oyj","Biofuels"
"Miguel  Arias Cañete","02/03/2015","Brussels, Belgium","Fertilizers Europe","Decarbonisation and ETS"
"Miguel  Arias Cañete","27/02/2015","Madrid, Spain","COMPAÑIA ESPAÑOLA DE PETROLEOS SAU","Energy Union"
"Miguel  Arias Cañete","19/02/2015","Brussels, Berlgium","CEMBUREAU - The European Cement Association","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","Cerame-Unie","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","European Chemical Industry Council","Competitiviness, Energy Union and  ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","Electricité de France","Energy Union"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","Eurometaux","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","Confederation of European Paper Industries","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","GLASS ALLIANCE EUROPE","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","European Aluminium Association AISBL","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","European Lime Association","Comptetitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","The European Steel Association","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","EUROALLIAGES","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","19/02/2015","Brussels, Belgium","FuelsEurope","Competitiviness, Energy Union and ETS review"
"Miguel  Arias Cañete","17/02/2015","Brussels, Belgium","ASOCIACIÓN ESPAÑOLA DE FABRICANTES DE AUTOMÓVILES Y CAMIONES","Decarbonisation of the Road Transport"
"Miguel  Arias Cañete","13/02/2015","Madrid, Spain","Repsol, S.A.","Energy Union"
"Miguel  Arias Cañete","11/02/2015","Brussels, belgium","BANCO BILBAO VIZCAYA ARGENTARIA","Commission Working Programme and Digital Agenda"
"Miguel  Arias Cañete","30/01/2015","Madrid, Spain","Confederación Española de Organizaciones Empresariales","Work programme of the Commission for 2015"
"Miguel  Arias Cañete","28/01/2015","Brussels, Belgium","ENEL SpA","Energy Union"
"Miguel  Arias Cañete","27/01/2015","Brussels, Belgium","Gas Natural Fenosa","Gas sector in the EU"
"Miguel  Arias Cañete","15/01/2015","Brussels, Belgium","Climate Action Network Europe","Lima and energy regulations"
"Miguel  Arias Cañete","14/01/2015","Brussels, Belgium","IBERDROLA","Energy Union ans Internal Energy Market"
"Miguel  Arias Cañete","14/01/2015","Brussels, Belgium","E.ON SE","Energy Union and Internal Energy Market"
"Miguel  Arias Cañete","14/01/2015","Brussels-Belgium","Fortum Oyj","Energy Union and Internal Energy Market"
"Miguel  Arias Cañete","14/01/2015","Brussels, Belgium","RWE AG","Energy Union and Internal Market Energy"
"Miguel  Arias Cañete","14/01/2015","Brussels, Belgium","GDF SUEZ","Energy Union and Internal Energy Market"
"Miguel  Arias Cañete","12/01/2015","Brussels, Belgium","OFICEMEN","ETS (Emission Trading Scheme)"
"Miguel  Arias Cañete","04/12/2014","Brussels, Belgium","VATTENFALL","EU Energy Policy, 2030 Framework internal Energy Market, 315b eur investemnt package"
"Miguel  Arias Cañete","02/12/2014","Brussels, Belgium","European Photovoltaic Industry Association","2030 targets, elektricity market design and the retail market initiative, the 315b package"
"Miguel  Arias Cañete","02/12/2014","Brussels, Belgium","Unión de Empresas Siderúrgicas","Market Stability Reserve and   2030 Framework"
"Miguel  Arias Cañete","02/12/2014","Brussels, Belgium","EUROGAS aisbl","Energy Union, 2030 Framework, Market Stability Reserve"
"Dimitris  Avramopoulos","03/03/2015","Office of Commissioner Avramopoulos - BERLAYMONT Building","Google","Proposals regarding Google contribution in the anti-radicalization debate and the fight against the presence of terrorism propaganda online"
"Dimitris  Avramopoulos","24/02/2015","Brussels Belgium","The Smile of the Child","Actions on issues of unaccompanied children and abused children"
"Dimitris  Avramopoulos","08/12/2014","Geneva","International Organization for Migration","Migration"
"Elżbieta Bieńkowska","11/05/2015","Brussels","European Generic medicines Association","Meeting with Beata Stępniewska (EGA Deputy Director General )"
"Elżbieta Bieńkowska","28/04/2015","Strasbourg","General Electric Company","Meeting with General Electric on recent investments, and contributions to a European Industrial Renaissance, the Energy Union"
"Elżbieta Bieńkowska","22/04/2015","Brussels","ECTAA","Meeting with representatives of ECTAA (Group of European Travel Agents’ and Tour Operators’ Associations within the EU)"
"Elżbieta Bieńkowska","16/04/2015","Brussels","Thales                                                                                    THALES","Defense"
"Elżbieta Bieńkowska","16/04/2015","Brussels","European Association Automotive Suppliers","Automotive Industry"
"Elżbieta Bieńkowska","31/03/2015","Diamant Conference Centre","AeroSpace and Defence Industries Association of Europe","participation in board meeting"
"Elżbieta Bieńkowska","30/03/2015","Myslowice, Poland","Kaufland","Store visit of Kaufland"
"Elżbieta Bieńkowska","27/03/2015","Riga, Latvia","EuroCommerce","Meeting with Mr Kenneth Bengtsson, President of EuroCommerce"
"Elżbieta Bieńkowska","25/03/2015","Brussels","Polish Confederation Lewiatan","Introductory meeting"
"Elżbieta Bieńkowska","25/03/2015
            	     
            	     	(Cancelled)","Brussels","Polish Confederation Lewiatan","Introductory meeting"
"Elżbieta Bieńkowska","09/03/2015","Brussels, Belgium","BUSINESSEUROPE","Industrial Policy"
"Elżbieta Bieńkowska","03/03/2015","Brussels","Deutsche Post DHL","Introductory meeting"
"Elżbieta Bieńkowska","24/02/2015","Brussels","EUROPEAN TRADE UNION CONFEDERATION","Micro-enterprises and SMEs from EU regulation."
"Elżbieta Bieńkowska","05/02/2015","Brussels, Belgium","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Priorities for Commissioner Bienkowska's term"
"Elżbieta Bieńkowska","03/02/2015","Brussels","The European Steel Association","Steel Industry Challenges"
"Elżbieta Bieńkowska","02/02/2015","Brussels, Belgium","Unilever","Introductory meeting: single market legislation & circular economy package"
"Elżbieta Bieńkowska","29/01/2015
            	     
            	     	(Cancelled)","Brussels, Belgium","European Union Chamber of Commerce in China","Boosting growth, jobs and investment in Europe"
"Elżbieta Bieńkowska","29/01/2015
            	     
            	     	(Cancelled)","Brussels, Belgium","Royal Mail Group","Future of cross-border parcel delivery"
"Elżbieta Bieńkowska","22/01/2015","Brussels","Uber","Introductory meeting"
"Elżbieta Bieńkowska","20/01/2015
            	     
            	     	(Cancelled)","Brussels, Belgium","Google","Future of the Information Society"
"Elżbieta Bieńkowska","02/12/2014","Brussels, Belgium","LVMH Publica","Meeting with Pierre Gode, Vice-Chairman of LVMH"
"Violeta Bulc","20/04/2015","Brussels/Be","European Cockpit Association","European Cockpit Association"
"Violeta Bulc","20/04/2015","Brussels, Belguim","EUROCITIES","EUROCITIES representatives meeting Commissioner Bulc"
"Violeta Bulc","20/04/2015","Brussels, Belguim","European Cockpit Association","Meeting between European Cockpit Association and Commissioner Bulc"
"Violeta Bulc","14/04/2015","Brussels, Belguim","Etihad Airways","Meeting Commissioner Bulc"
"Violeta Bulc","14/04/2015","Brussels, Belguim","Association Européenne des Concessionnaires d'Autoroutes et d'Ouvrages à Péage","Meeting Commissioner Bulc"
"Violeta Bulc","13/04/2015","Brussels, Belguim","European Construction Industry Federation","Meeting Commissioner Bulc"
"Violeta Bulc","27/03/2015","Representatin of European Commission in Slovenia","AVTO-MOTO ZVEZA SLOVENIJE","Introductory meeting with AMZS"
"Violeta Bulc","27/03/2015
            	     
            	     	(Cancelled)","EC Representation in Ljubljana, Slovenia","AVTO-MOTO ZVEZA SLOVENIJE","Introductory meeting"
"Violeta Bulc","24/03/2015","Brussels, Belguim","European Cyclists' Federation","Issues discussed"
"Violeta Bulc","24/03/2015","Brussels, Belguim","European Rail Freight Association","Delivering a speech"
"Violeta Bulc","17/03/2015","Brussels/BE","Aeropuertos Españoles y Navegación Aérea","Ignacio Gonzalez Sanchez ENAIRE"
"Violeta Bulc","12/03/2015","Brussels, Belgium","FIA Europe","Meeting with FIA"
"Violeta Bulc","04/03/2015","Brussels, Belgium","International Road Transport Union","Speech: IRU Spring Cocktail"
"Violeta Bulc","04/03/2015","Brussels, Belgium","European Community Shipowner's Associations","Closing Remarks: ECSA"
"Violeta Bulc","03/03/2015","Brussels, Belgium","European Barge Union","Opening remarks: EBU Conference"
"Violeta Bulc","03/03/2015","Brussels, Belgium","Cruise Lines International Association Europe","Meeting with CLIA Europe"
"Violeta Bulc","03/03/2015","Brussels/BE","FIPRA International Limited","Adam Goldstein CLIA"
"Violeta Bulc","03/03/2015","Brussels, Belgium","Société Nationale des Chemins de Fer Français","Meeting with SNCF"
"Violeta Bulc","03/03/2015","Brussels, Belgium","Deutsche Post DHL","Meeting with DHL"
"Violeta Bulc","27/02/2015","Brussels/BE","KLM Royal Dutch Airlines","KLM CEO P.ELBERS"
"Violeta Bulc","27/02/2015","Brussels, Belgium","KLM Royal Dutch Airlines","Meeting with KLM"
"Violeta Bulc","26/02/2015","Brussels, Belgium","Verband der Automobilindustrie","Meeting with VDA"
"Violeta Bulc","26/02/2015","Brussels, Belgium","easyJet","Meeting with easyJet"
"Violeta Bulc","26/02/2015","Brussels/BE","easyJet","Eadyjet CEO McCall"
"Violeta Bulc","26/02/2015","Brussels, Belgium","UITP - International Association of Public Transport","Meeting with UITP"
"Violeta Bulc","25/02/2015","Brussels/BE","ASSOCIATION OF EUROPEAN AIRLINES","Association of European Airlines"
"Violeta Bulc","25/02/2015","Brussels, Belgium","ASSOCIATION OF EUROPEAN AIRLINES","Meeting with AEA"
"Violeta Bulc","24/02/2015","Brussels, Belgium","International Union for Road-Rail Combined Transport","Meeting with UIRR"
"Violeta Bulc","17/02/2015","Brussels, Belgium","BUSINESSEUROPE","Meeting with BUSINESSEUROPE"
"Violeta Bulc","10/02/2015","Strasbourg, France","FERROVIE DELLO STATO ITALIANE S.p.A.","Meeting with CEO FSi"
"Violeta Bulc","09/02/2015","Brussels, Belgium","Transport and Environment (European Federation for Transport and Environment)","Meeting with Transport&Environment"
"Violeta Bulc","04/02/2015","Brussels, Belgium","Association des Constructeurs Européens d'Automobiles","Meeting with ACEA"
"Violeta Bulc","03/02/2015","Brussels, Belgium","European Transport Workers' Federation","Meeting with ETF"
"Violeta Bulc","29/01/2015","Brussels, Belgium","European Shippers' Council","Meeting with European Shippers' Council"
"Violeta Bulc","22/01/2015","Brussels, Belgium","Uber","Meeting with Uber"
"Violeta Bulc","20/01/2015","BERL 8/26","Deutsche Lufthansa AG                                                                                    AIR FRANCE","Presentation of Deutsche Lufthansa Group and Air France / KLM"
"Violeta Bulc","19/01/2015
            	     
            	     	(Cancelled)","Brussels, Belgium","Transport and Environment (European Federation for Transport and Environment)","Meeting with Transport&Environment"
"Violeta Bulc","19/01/2015","Brussels, Belgium","European Sea Ports Organisation","Meeting with ESPO"
"Violeta Bulc","15/01/2015","BERL","Airports Council International - European Region","Meeting ACI Europe"
"Violeta Bulc","15/01/2015","Brussels, Belgium","Union of European Chambers of Commerce for Transport","Meeting with UECC"
"Violeta Bulc","07/01/2015","Brussels, Belgium","International Air Transport Association","Meeting with IATA"
"Violeta Bulc","05/01/2015","Brussels, Belgium","Združenje Manager                                                                                    Alba Partners                                                                                    Agrokor","Meeting with associations"
"Violeta Bulc","23/12/2014","Ljubljana, Slovenia","BTC d.d.","Courtesy visit"
"Violeta Bulc","20/12/2014","Ajdovscina, Slovenia","Pipistrel d.o.o. Ajdovščina","Testing electric plane"
"Violeta Bulc","20/12/2014","Slovenia","Pipistrel d.o.o. Ajdovščina","Meeting with Pipistrel"
"Violeta Bulc","11/12/2014","Brussels, Belgium","European Rail Freight Association","Meeting with ERFA"
"Violeta Bulc","09/12/2014","Paris, France","Aéroports de Paris","Meeting with AdP"
"Violeta Bulc","09/12/2014","Paris, France","Société Nationale des Chemins de Fer Français","Meeting with SNCF"
"Corina Creţu","17/03/2015","BERL","European Alliance to Save Energy","Meeting between Commissioner Cretu and Monica Frassoni, President EU-ASE"
"Corina Creţu","27/01/2015","Brussels","CEE Bankwatch Network","CEE Bankwatch Network"
"Valdis Dombrovskis","05/05/2015","European Commission –Brussels","Green Budget Europe                                                                                     European Environmental Bureau                                                                                     WWF EPO","Environmental aspects of the European semester"
"Valdis Dombrovskis","05/05/2015
            	     
            	     	(Cancelled)","European Commission – Berlaymont - Brussels","European Environmental Bureau                                                                                      WWF EPO","Environmental aspects of the European semester"
"Valdis Dombrovskis","23/04/2015","Riga - Radisson Blu Hotel Latvija","EUROFI","EU financial markets"
"Valdis Dombrovskis","23/04/2015","Riga - Radisson Blu Hotel Latvija","The Goldman Sachs Group","Capital Markets Union – State of EU/US banking markets"
"Valdis Dombrovskis","24/03/2015","European Commission, Brussels","Platform of European Social NGOs","Meeting held in the context of closer involvement of civil society in the European Semester. Topics discussed: EU economic governance. Streamlining of the European Semester: COM analysis in Country Reports and the involvement of civil society organizations. Mid-term review of Europe 2020 strategy."
"Valdis Dombrovskis","19/03/2015","Hotel Royal Windsor - Brussels","European Savings and Retail Banking Group","Keynote speech at the ESBG Retail Banking conference"
"Valdis Dombrovskis","17/03/2015","European Commission, Brussels","European Anti Poverty Network","EU macroeconomic governance, streamlining of the European Semester, role of social indicators. Midterm review of Europe 2020 strategy, progress towards headline targets, including poverty reduction target."
"Valdis Dombrovskis","13/03/2015","Helsinki","Elinkeinoelämän Valtuuskunta EVA ry","Recent economic developments in the Euro-Zone"
"Valdis Dombrovskis","06/03/2015","European Commission –Brussels (Berlaymont)","Deutscher Sparkassen-und Giroverband","Banking regulatory issues – European semester"
"Valdis Dombrovskis","04/03/2015","European Commission –Brussels (Berlaymont)","UniCredit","Banking regulatory issues – Capital banking structure – Financing of the economy"
"Valdis Dombrovskis","28/01/2015","European Commission, Brussels","Deutscher Gewerkschaftsbund","Strengthening the Social Dialogue at the European and national level; European Economic Governance"
"Valdis Dombrovskis","27/01/2015","European Commission - BERL","Commerzbank AG","Banking Union"
"Valdis Dombrovskis","27/01/2015","European Commission - BERL","BlackRock","CMU"
"Valdis Dombrovskis","21/01/2015","Davos Congress Centre,Talstrasse 41, CH-7270  Davos, Switzerland","AT&T, Inc.","Latest developments in the European market, economic growth and job creation in Europe; key policy issues such as corporate governance, information and technology, international trade, smart regulation, and tax and fiscal policy. European Investment plan."
"Valdis Dombrovskis","21/01/2015","Davos Congress Centre,Talstrasse 41, CH-7270  Davos, Switzerland","Bank of America","Eurozone macro-economic outlook and the Banking Union as it currently stands, as well as the state of the European and American economy"
"Valdis Dombrovskis","16/01/2015","Brussels","Air Baltic Corporation AS","Exchange of views"
